Chaetomorpha	B-RESOURCE
sp	O
.	O
,	O
Chondracanthus	B-RESOURCE
teedii	I-RESOURCE
(	I-RESOURCE
Mertens	I-RESOURCE
ex	I-RESOURCE
Roth	I-RESOURCE
)	I-RESOURCE
Fredericq	I-RESOURCE
,	O
and	O
Grateloupia	B-RESOURCE
sp	O
.	O
were	O
unique	O
to	O
Barra	B-LOCATION
,	O
whereas	O
Tetraclita	B-RESOURCE
stalactifera	I-RESOURCE
(	O
Lamarck	O
,	O
1818	O
)	O
,	O
Fissurella	B-RESOURCE
clench	I-RESOURCE
,	O
Gracilaria	B-RESOURCE
domingensis	I-RESOURCE
(	I-RESOURCE
Ktzing	I-RESOURCE
)	I-RESOURCE
Sonder	I-RESOURCE
ex	I-RESOURCE
Dickie	I-RESOURCE
,	O
and	O
Hypnea	B-RESOURCE
musciformis	I-RESOURCE
(	I-RESOURCE
Wulfen	I-RESOURCE
in	I-RESOURCE
jacqu	I-RESOURCE
.	I-RESOURCE
)	I-RESOURCE
