This	O
review	O
study	O
indicates	O
:	O
(	O
i	O
)	O
geohazards	B-PROCESS
of	O
different	O
phases	O
and	O
geohazard	B-PROCESS
chain	I-PROCESS
are	O
generally	O
triggered	O
by	O
both	O
early	O
-	O
phase	O
tectonics	B-QUALITY
-	O
dominated	O
and	O
later	O
-	O
phase	O
sedimentation	B-PROCESS
-	O
dominated	O
processes	O
;	O
(	O
ii	O
)	O
the	O
fault	B-RESOURCE
geometric	O
and	O
stress	B-QUALITY
segmentation	B-PROCESS
may	O
have	O
played	O
an	O
important	O
role	O
in	O
controlling	O
on	O
the	O
uneven	O
and	O
asymmetric	O
distribution	B-QUALITY
of	O
earthquakes	B-PROCESS
and	O
submarine	B-RESOURCE
canyons	I-RESOURCE
of	O
the	O
northern	O
SCS	B-LOCATION
,	O
Especially	O
,	O
the	O
ENE	O
-	O
striking	O
preexisting	O
Littoral	B-RESOURCE
Fault	I-RESOURCE
Zone	I-RESOURCE
is	O
the	O
major	O
seismogenic	B-QUALITY
structure	I-QUALITY
along	O
the	O
Southchina	B-LOCATION
coastline	B-LOCATION
;	O
(	O
iii	O
)	O
the	O
tectono	B-PROCESS
-	I-PROCESS
sedimentary	I-PROCESS
coupling	I-PROCESS
induced	O
landslide	B-PROCESS
and	O
slope	B-PROCESS
failure	I-PROCESS
that	O
has	O
help	O
to	O
shape	O
the	O
modern	O
coastal	B-QUALITY
and	O
slope	B-RESOURCE
geomorphology	B-QUALITY
.	O
