In	O
2009	O
,	O
elevated	O
dissolved	B-RESOURCE
inorganic	I-RESOURCE
carbon	I-RESOURCE
(	I-RESOURCE
DIC	I-RESOURCE
)	I-RESOURCE
and	O
total	B-QUALITY
alkalinity	I-QUALITY
(	I-QUALITY
TA	I-QUALITY
)	I-QUALITY
occurred	O
in	O
the	O
coastal	B-PROCESS
plume	I-PROCESS
,	O
where	O
submarine	B-PROCESS
groundwater	I-PROCESS
discharge	I-PROCESS
contributed	O
DIC	B-RESOURCE
and	O
TA	B-RESOURCE
additions	O
of	O
38	O
.	O
920	O
.	O
5	O
and	O
42	O
.	O
522	O
.	O
3	O
mol	O
kg1	O
,	O
respectively	O
,	O
with	O
a	O
DIC	B-RESOURCE
/	O
TA	B-RESOURCE
ratio	O
of	O
0	O
.	O
92	O
,	O
which	O
made	O
a	O
minor	O
contribution	O
to	O
the	O
variation	O
of	O
seawater	B-RESOURCE
partial	B-QUALITY
pressure	I-QUALITY
of	I-QUALITY
CO2	I-QUALITY
(	I-QUALITY
pCO2	I-QUALITY
)	I-QUALITY
,	O
pH	B-QUALITY
and	O
the	O
aragonite	B-QUALITY
saturation	I-QUALITY
state	I-QUALITY
index	I-QUALITY
(	I-QUALITY
arag	I-QUALITY
)	I-QUALITY
.	O
