The	O
recent	O
advances	O
of	O
mangrove	B-PROCESS
restoration	I-PROCESS
within	O
four	O
processes	O
were	O
reviewed	O
,	O
namely	O
;	O
(	O
1	O
)	O
site	O
-	O
species	O
matching	O
,	O
which	O
includes	O
temperature	B-QUALITY
,	O
substrates	B-RESOURCE
and	O
hydrological	B-QUALITY
factors	I-QUALITY
of	O
afforestation	B-LOCATION
sites	I-LOCATION
;	O
(	O
2	O
)	O
selection	B-PROCESS
and	O
introduction	B-PROCESS
of	O
mangrove	B-RESOURCE
species	I-RESOURCE
,	O
that	O
includes	O
status	O
of	O
native	B-RESOURCE
specie	I-RESOURCE
'	O
s	O
selection	B-PROCESS
and	O
exotic	O
one	O
'	O
s	O
introduction	B-PROCESS
;	O
(	O
3	O
)	O
applicationof	O
silviculture	B-PROCESS
techniques	O
,	O
including	O
planting	B-PROCESS
,	O
seedling	B-PROCESS
and	O
sapling	B-RESOURCE
nursing	B-PROCESS
techniques	O
,	O
and	O
afforestation	B-PROCESS
cost	O
'	O
s	O
comparison	O
;	O
and	O
(	O
4	O
)	O
post	O
-	O
cultivated	O
management	B-PROCESS
and	O
monitoring	B-PROCESS
,	O
including	O
the	O
sapling	B-RESOURCE
'	O
s	O
watching	B-PROCESS
,	O
diseases	B-PROCESS
and	O
pest	B-ACTOR
'	O
s	O
prevention	B-PROCESS
and	O
resistance	B-PROCESS
,	O
and	O
ecological	B-PROCESS
monitoring	I-PROCESS
.	O
