We	O
studied	O
fatty	B
acid	I
(	I
FA	I
)	I
composition	I
in	O
samples	O
from	O
bodies	B
and	O
intestinal	O
contents	O
of	O
the	O
littoral	B
amphipod	O
Gammarus	B
lacustris	I
Sars	O
,	O
from	O
the	O
Bugach	O
freshwater	B
reservoir	B
.	O
Simultaneously	O
,	O
samples	O
of	O
seston	B
and	O
bottom	O
sediments	B
were	O
also	O
collected	O
from	O
the	O
reservoir	B
during	O
early	O
August	O
.	O
There	O
were	O
no	O
differences	O
in	O
FA	O
composition	B
of	O
gut	O
contents	O
,	O
seston	B
and	O
sediments	B
of	O
pebbly	O
bottom	O
.	O
Seston	B
was	O
the	O
main	O
food	O
source	O
of	O
Gammarus	B
but	O
some	O
FAs	O
Gammarus	B
got	O
from	O
sediments	B
.	O
The	O
FA	O
composition	B
of	O
G	O
.	O
lacustris	O
and	O
seston	B
from	O
the	O
Bugach	O
freshwater	B
reservoir	B
were	O
compared	O
with	O
those	O
of	O
the	O
animals	B
from	O
the	O
saltwater	B
Lake	B
Shira	O
(	O
Siberia	O
)	O
.	O
While	O
FA	O
composition	O
of	O
the	O
two	O
Gammarus	B
populations	O
differed	O
significantly	O
,	O
those	O
of	O
seston	B
were	O
practically	O
similar	O
:	O
the	O
composition	B
of	O
long	O
-	O
chain	O
unsaturated	B
fatty	I
acids	I
,	O
20	O
:	O
53	O
,	O
22	O
:	O
63	O
and	O
20	O
:	O
46	O
,	O
were	O
significantly	O
higher	O
in	O
animals	B
from	O
saline	O
Shira	O
Lake	B
,	O
whereas	O
16	O
:	O
1	O
and	O
16	O
:	O
0	O
were	O
higher	O
in	O
the	O
freshwater	B
populations	O
of	O
amphipods	B
from	O
the	O
Bugach	O
freshwater	B
reservoir	B
.	O
Taking	O
into	O
account	O
the	O
relevant	O
literature	O
data	O
,	O
we	O
hypothesise	O
that	O
this	O
difference	O
in	O
C16	O
acid	B
might	O
be	O
a	O
distinguishing	O
characteristic	O
of	O
FA	O
composition	B
of	O
freshwater	B
and	O
saltwater	B
crustaceans	B
.	O
