Species	B
suffering	O
potentially	O
significant	O
impacts	O
of	O
gillnet	B
mortality	B
include	O
common	B
guillemot	I
(	O
Uria	B
aalge	I
)	O
,	O
thick	B
-	I
billed	I
guillemot	I
(	O
Uria	B
lomvia	I
)	O
,	O
red	B
-	I
throated	I
loon	I
(	O
Gavia	B
stellata	I
)	O
,	O
Humboldt	B
penguin	I
(	O
Spheniscus	B
humboldti	I
)	O
,	O
Magellanic	B
penguin	I
(	O
Spheniscus	B
magellanicus	I
)	O
,	O
yellow	B
-	I
eyed	I
penguin	I
(	O
Megadyptes	B
antipodes	I
)	O
,	O
little	B
penguin	I
(	O
Eudyptula	B
minor	I
)	O
,	O
greater	B
scaup	I
(	O
Aythya	B
marila	I
)	O
and	O
long	B
-	I
tailed	I
duck	I
(	O
Clangula	B
hyemalis	I
)	O
.	O
