In	O
2009	O
,	O
elevated	O
dissolved	B
inorganic	I
carbon	I
(	I
DIC	I
)	I
and	O
total	B
alkalinity	I
(	I
TA	I
)	I
occurred	O
in	O
the	O
coastal	B
plume	I
,	O
where	O
submarine	B
groundwater	I
discharge	I
contributed	O
DIC	B
and	O
TA	B
additions	O
of	O
38	O
.	O
920	O
.	O
5	O
and	O
42	O
.	O
522	O
.	O
3	O
mol	O
kg1	O
,	O
respectively	O
,	O
with	O
a	O
DIC	B
/	O
TA	B
ratio	O
of	O
0	O
.	O
92	O
,	O
which	O
made	O
a	O
minor	O
contribution	O
to	O
the	O
variation	O
of	O
seawater	B
partial	B
pressure	I
of	I
CO2	I
(	I
pCO2	I
)	I
,	O
pH	B
and	O
the	O
aragonite	B
saturation	I
state	I
index	I
(	I
arag	I
)	I
.	O
