Finally	O
,	O
based	O
on	O
the	O
current	O
status	O
of	O
mangrove	B
restoration	I
in	O
China	B
,	O
there	O
is	O
a	O
discussion	O
on	O
the	O
future	O
emphasis	O
of	O
mangrove	B
restoration	I
researches	O
,	O
which	O
is	O
(	O
1	O
)	O
undertaking	O
mangrove	B
rehabilitation	B
in	O
the	O
abandonedaquaculture	O
ponds	B
;	O
(	O
2	O
)	O
monitoring	O
on	O
the	O
restoration	O
of	O
biodiversity	O
in	O
the	O
mangrove	O
ecosystem	O
;	O
(	O
3	O
)	O
researching	O
on	O
allelopathy	O
in	O
mangrove	O
ecosystem	O
more	O
elaborately	O
;	O
(	O
4	O
)	O
afforesting	O
mixed	O
stands	O
with	O
different	O
mangrove	O
species	O
;	O
and	O
at	O
last	O
but	O
not	O
the	O
least	O
(	O
5	O
)	O
implementing	O
ecological	O
restoration	O
of	O
mangrove	O
wetlands	O
.	O
