This	O
site	O
is	O
characterized	O
by	O
enormous	O
natural	B-RESOURCE
resources	I-RESOURCE
,	O
including	O
hot	B-RESOURCE
vents	I-RESOURCE
in	O
Hammam	B-LOCATION
Faroun	I-LOCATION
and	O
Ayun	B-LOCATION
Mousa	I-LOCATION
,	O
oil	B-PROCESS
exploration	I-PROCESS
and	O
mineral	B-RESOURCE
deposits	I-RESOURCE
in	O
W	B-LOCATION
.	I-LOCATION
Araba	I-LOCATION
,	O
W	B-LOCATION
.	I-LOCATION
Sidri	I-LOCATION
and	O
Ras	B-LOCATION
Malaab	I-LOCATION
,	O
natural	B-RESOURCE
protectorates	I-RESOURCE
in	O
Ras	B-LOCATION
Mohamed	I-LOCATION
and	O
archaeological	B-RESOURCE
sites	I-RESOURCE
in	O
W	B-LOCATION
.	I-LOCATION
Sidri	I-LOCATION
,	O
W	B-LOCATION
.	I-LOCATION
Feiran	I-LOCATION
,	O
El	B-LOCATION
-	I-LOCATION
Qaa	I-LOCATION
'	I-LOCATION
and	O
coastal	B-LOCATION
areas	I-LOCATION
between	O
W	B-LOCATION
.	I-LOCATION
Feiran	I-LOCATION
and	O
El	B-LOCATION
-	I-LOCATION
Tor	I-LOCATION
and	O
between	O
W	B-LOCATION
.	I-LOCATION
Araba	I-LOCATION
and	O
Ayun	B-LOCATION
Mousa	I-LOCATION
.	O
