Undernutrition	B-PROCESS
,	O
ARI	B-PROCESS
(	I-PROCESS
acute	I-PROCESS
respiratory	I-PROCESS
infection	I-PROCESS
)	I-PROCESS
,	O
diarrheal	B-PROCESS
diseases	I-PROCESS
,	O
low	O
birth	B-QUALITY
weight	I-QUALITY
,	O
and	O
premature	O
mortality	B-QUALITY
were	O
the	O
major	O
health	B-QUALITY
impacts	I-QUALITY
attributed	O
to	O
extreme	B-PROCESS
weather	I-PROCESS
events	I-PROCESS
,	O
meteorological	B-QUALITY
factors	I-QUALITY
,	O
and	O
air	B-PROCESS
pollution	I-PROCESS
exposure	I-PROCESS
in	O
children	B-ACTOR
and	O
women	B-ACTOR
in	O
the	O
region	O
.	O
