2020	O
,	O
Coastal	O
and	O
Estuarine	O
Research	O
Federation	O
.	O
Climate	B
change	I
driven	O
sea	B
level	I
rise	I
and	O
mangrove	B
expansion	I
are	O
rapidly	O
altering	O
coastal	B
systems	I
in	O
the	O
northern	O
Gulf	B
of	I
Mexico	I
.	O
Such	O
substantial	O
and	O
wide	O
-	O
spread	O
change	O
will	O
likely	O
have	O
substantial	O
effects	O
on	O
the	O
flow	B
of	I
energy	I
through	O
the	O
food	B
webs	I
in	O
these	O
systems	O
.	O
Using	O
stable	O
isotopes	O
and	O
habitat	O
cover	O
maps	O
,	O
we	O
built	O
energetic	O
landscapes	O
(	O
E	O
-	O
scapes	O
)	O
for	O
three	O
nekton	O
species	O
to	O
determine	O
how	O
the	O
landscapes	O
ability	O
to	O
produce	O
energy	O
changes	O
with	O
changing	O
habitat	O
cover	O
over	O
a	O
5	O
-	O
year	O
period	O
.	O
Between	O
2015	O
and	O
2020	O
,	O
25	O
%	O
(	O
367	O
.	O
26	O
ha	O
)	O
of	O
marsh	B
habitat	I
converted	O
into	O
mangrove	B
habitat	I
and	O
10	O
%	O
(	O
144	O
.	O
93	O
ha	O
)	O
of	O
marsh	B
habitat	I
transitioned	O
into	O
water	B
.	O
We	O
observed	O
an	O
overall	O
decrease	O
in	O
the	O
energetic	B
benefit	I
to	O
all	O
consumers	B
with	O
increasing	O
mangrove	B
cover	I
,	O
due	O
to	O
the	O
fact	O
mangrove	B
detritus	I
is	O
not	O
used	O
as	O
a	O
food	B
source	I
by	O
consumers	B
in	O
our	O
system	O
.	O
Edge	B
habitat	I
had	O
a	O
positive	O
relationship	O
with	O
overall	O
energetic	B
production	I
,	O
likely	O
due	O
to	O
the	O
increase	O
in	O
available	B
area	I
for	O
benthic	B
algal	I
production	I
.	O
The	O
relationship	O
between	O
edge	B
habitat	I
and	O
water	B
habitat	I
suggests	O
that	O
while	O
these	O
areas	O
may	O
initially	O
increase	O
in	O
their	O
ability	O
to	O
support	O
consumer	B
species	I
,	O
continued	O
sea	B
level	I
rise	I
will	O
lead	O
to	O
reductions	O
in	O
the	O
landscapes	B
ability	O
to	O
produce	O
energy	B
for	O
consumers	B
as	O
land	B
is	O
converted	O
to	O
water	B
.	O
As	O
these	O
coastal	B
areas	I
experience	O
rapid	O
habitat	B
cover	I
changes	O
,	O
the	O
reduction	O
in	O
energetic	B
quality	I
of	O
habitats	B
could	O
lead	O
to	O
a	O
reduction	O
in	O
the	O
ability	O
of	O
these	O
systems	O
to	O
support	O
existing	O
consumer	B
species	I
.	O
