2016	O
M	O
.	O
D	O
.	O
Hossain	O
et	O
al	O
.	O
Mangrove	B
forests	I
dominate	O
thecoastlines	O
of	O
tropical	B
and	I
subtropical	I
climates	I
ofthe	O
world	O
.	O
Mangroves	B
provide	O
protection	B
in	O
coastal	B
areas	I
from	O
storms	B
and	O
erosion	B
to	O
help	O
create	O
sources	B
of	I
income	I
for	O
human	B
being	I
.	O
Research	O
on	O
mangroves	O
received	O
little	O
focus	O
earlier	O
in	O
the	O
20th	O
century	O
.	O
The	O
current	O
knowledge	O
on	O
physico	O
-	O
chemical	O
properties	O
of	O
soil	O
,	O
soil	O
nutrition	O
,	O
ecological	O
relationship	O
of	O
soil	O
and	O
vegetation	O
and	O
relationship	O
of	O
soil	O
with	O
species	O
composition	O
and	O
structure	O
of	O
mangrove	O
forests	O
in	O
tropical	O
mangrove	O
environment	O
is	O
reviewed	O
and	O
discussed	O
.	O
Large	O
differences	O
occur	O
between	O
mangrove	B
forests	I
with	O
respect	O
to	O
soil	B
pH	I
,	O
salinity	B
,	O
bulk	B
density	I
,	O
CEC	B
,	O
nutrients	B
,	O
carbon	B
and	O
organic	B
matter	I
contents	I
ofthe	O
mangrove	B
soils	I
.	O
Recent	O
findings	O
suggest	O
that	O
different	O
soil	B
properties	I
influence	O
the	O
vegetation	B
,	O
species	B
composition	I
and	O
structure	O
ofmangroveforests	O
.	O
In	O
recentyears	O
,	O
a	O
considerable	O
research	O
resultson	O
mangrovesoils	O
are	O
availableto	O
improve	O
our	O
knowledge	O
,	O
but	O
there	O
are	O
still	O
significant	O
gaps	O
and	O
shortcomings	O
.	O
These	O
are	O
,	O
therefore	O
,	O
emphasized	O
and	O
relevant	O
research	O
directions	O
are	O
needed	O
.	O
This	O
study	O
provides	O
a	O
considerable	O
updated	O
knowledge	O
which	O
will	O
help	O
in	O
exploring	O
links	O
for	O
future	O
research	O
among	O
soil	O
properties	O
,	O
vegetation	O
,	O
species	O
composition	O
and	O
structure	O
of	O
mangrove	O
forests	O
.	O
