The	O
main	O
features	O
of	O
a	O
cyclone	B
that	O
cause	O
death	B
and	O
destruction	B
are	O
:	O
(	O
1	O
)	O
Storm	B
surge	I
,	O
a	O
rapid	O
increase	O
in	O
sea	B
level	I
along	O
the	O
coast	B
,	O
primarily	O
caused	O
by	O
the	O
strong	O
surface	O
wind	B
field	I
of	O
the	O
cyclone	B
as	O
it	O
approaches	O
the	O
coast	B
,	O
(	O
2	O
)	O
the	O
violent	O
sustained	O
wind	B
and	O
wind	B
gusts	I
and	O
cyclone	B
-	I
spawned	I
tornadoes	I
,	O
and	O
(	O
3	O
)	O
the	O
heavy	B
rain	I
and	O
consequent	O
flooding	B
.	O
