2017	O
B	O
.	O
V	O
.	O
The	O
main	O
objectives	O
of	O
this	O
study	O
were	O
(	O
i	O
)	O
to	O
provide	O
an	O
updated	O
age	O
-	O
length	O
key	O
for	O
D	B
.	I
trunculus	I
from	O
Atlantic	B
waters	I
,	O
and	O
(	O
ii	O
)	O
to	O
evaluate	O
population	B
dynamics	I
,	O
the	O
timing	B
of	I
recruitment	I
and	O
production	B
parameters	I
of	O
the	O
wedge	B
clam	I
Donax	B
trunculus	I
in	O
two	O
moderately	O
exposed	O
sandy	B
beaches	I
(	O
the	O
protected	B
area	I
of	O
Doana	B
National	I
Park	I
and	O
the	O
tourist	B
destination	I
of	O
Isla	B
Canela	I
)	O
along	O
the	O
littoral	B
of	O
Huelva	B
(	O
SW	O
Spain	B
)	O
.	O
