Further	O
development	B-PROCESS
of	O
new	O
cavities	B-RESOURCE
has	O
not	O
been	O
detected	O
;	O
(	O
4	O
)	O
groundwater	B-QUALITY
salinity	I-QUALITY
variations	I-QUALITY
along	O
the	O
DS	B-LOCATION
shore	B-LOCATION
are	O
insignificant	O
and	O
changes	O
in	O
the	O
electrical	B-QUALITY
conductivity	I-QUALITY
of	O
the	O
groundwater	B-RESOURCE
obtained	O
using	O
TEM	O
were	O
in	O
most	O
cases	O
related	O
to	O
changes	O
of	O
porosity	B-QUALITY
caused	O
by	O
collapse	B-PROCESS
of	O
subsurface	B-RESOURCE
sediments	I-RESOURCE
.	O
