They	O
fall	O
into	O
three	O
main	O
categories	O
of	O
exposure	B-QUALITY
,	O
based	O
on	O
definitions	O
in	O
the	O
publications	O
:	O
(	O
i	O
)	O
the	O
population	B-ACTOR
impacted	O
by	O
specified	O
levels	O
of	O
SLR	B-PROCESS
;	O
(	O
ii	O
)	O
the	O
number	O
of	O
people	B-ACTOR
living	O
in	O
floodplains	B-LOCATION
that	O
are	O
subject	O
to	O
coastal	B-PROCESS
flood	I-PROCESS
events	O
with	O
a	O
specific	O
return	O
period	O
;	O
and	O
(	O
iii	O
)	O
the	O
population	B-ACTOR
living	O
in	O
low	B-LOCATION
-	I-LOCATION
elevation	I-LOCATION
coastal	I-LOCATION
zones	I-LOCATION
.	O
