Two	O
models	O
exist	O
for	O
the	O
profile	B-PROCESS
evolution	I-PROCESS
of	O
shore	B-RESOURCE
platforms	I-RESOURCE
and	O
associated	O
cliffs	B-RESOURCE
:	O
The	O
first	O
suggests	O
that	O
an	O
equilibrium	B-QUALITY
profile	I-QUALITY
develops	O
in	O
response	O
to	O
erosive	B-PROCESS
processes	I-PROCESS
,	O
and	O
this	O
profile	B-QUALITY
subsequently	O
migrates	B-PROCESS
landward	I-PROCESS
;	O
the	O
second	O
model	O
suggests	O
that	O
the	O
seaward	B-RESOURCE
margin	I-RESOURCE
of	O
the	O
shore	B-RESOURCE
platform	I-RESOURCE
is	O
relatively	O
static	O
,	O
and	O
the	O
profile	B-QUALITY
extends	B-PROCESS
landward	I-PROCESS
through	O
a	O
combination	O
of	O
cliff	B-RESOURCE
recession	B-PROCESS
and	O
platform	B-PROCESS
lowering	I-PROCESS
.	O
