Then	O
,	O
we	O
discuss	O
the	O
fluvial	B-PROCESS
dynamics	I-PROCESS
and	O
sediment	B-PROCESS
transport	I-PROCESS
of	O
the	O
GBM	B-LOCATION
river	B-RESOURCE
system	I-RESOURCE
to	O
address	O
the	O
knowledge	O
gap	O
in	O
the	O
context	O
of	O
deltaic	B-RESOURCE
plain	I-RESOURCE
land	I-RESOURCE
in	O
Bangladesh	B-LOCATION
,	O
where	O
upstream	B-LOCATION
fluvial	B-PROCESS
sedimentation	I-PROCESS
processes	I-PROCESS
impact	O
the	O
geomorphic	B-QUALITY
connectivity	I-QUALITY
from	O
Himalayan	B-LOCATION
to	O
the	O
Bay	B-LOCATION
of	I-LOCATION
Bengal	I-LOCATION
.	O
