In	O
this	O
study	O
R	O
programming	O
language	O
was	O
introduced	O
to	O
analyze	O
the	O
dispersion	B-PROCESS
and	O
concentrations	B-QUALITY
of	O
Biochemical	B-QUALITY
Oxygen	I-QUALITY
Demand	I-QUALITY
(	I-QUALITY
BOD	I-QUALITY
)	I-QUALITY
,	O
Dissolved	B-QUALITY
Oxygen	I-QUALITY
(	I-QUALITY
DO	I-QUALITY
)	I-QUALITY
,	O
Chemical	B-QUALITY
Oxygen	I-QUALITY
Demand	I-QUALITY
(	I-QUALITY
COD	I-QUALITY
)	I-QUALITY
,	O
pH	B-QUALITY
,	O
temperature	B-QUALITY
,	O
nutrients	B-RESOURCE
(	O
nitrate	B-RESOURCE
,	O
nitrite	B-RESOURCE
and	O
phosphate	B-RESOURCE
)	O
,	O
turbidity	B-QUALITY
and	O
Chlorophyll	B-RESOURCE
(	I-RESOURCE
Chla	I-RESOURCE
)	I-RESOURCE
.	O
