2021	O
Ayuningtyas	O
et	O
al	O
.	O
Background	O
:	O
The	O
tectonic	B
activities	I
at	O
the	O
meeting	O
points	O
of	O
three	O
large	O
plates	B
make	O
Indonesia	B
a	O
high	B
-	I
risk	I
disaster	I
-	I
prone	I
area	I
.	O
Nevertheless	O
,	O
disaster	B
risk	I
reduction	I
efforts	O
in	O
various	O
regions	O
of	O
Indonesia	B
are	O
still	O
lacking	O
,	O
in	O
terms	O
of	O
both	O
knowledge	O
and	O
the	O
ability	O
to	O
analyze	O
disaster	B
risks	I
.	O
This	O
study	O
examines	O
the	O
implementation	O
of	O
disaster	O
preparedness	O
and	O
mitigation	O
in	O
Indonesia	O
.	O
Methods	O
:	O
The	O
method	O
used	O
in	O
this	O
study	O
was	O
narrative	O
review	O
.	O
The	O
authors	O
collected	O
the	O
articles	O
through	O
searching	O
for	O
3	O
data	O
sources	O
from	O
20162019	O
using	O
Google	O
Scholar	O
,	O
iSeek	O
,	O
and	O
Microsoft	O
Academic	O
.	O
Content	O
analysis	O
of	O
all	O
information	O
to	O
obtain	O
the	O
thematic	O
phenomena	O
of	O
this	O
study	O
completed	O
the	O
methodological	O
approach	O
.	O
Results	O
:	O
After	O
applying	O
the	O
exclusion	O
criteria	O
and	O
removing	O
duplicates	O
,	O
six	O
studies	O
remained	O
that	O
focused	O
on	O
disaster	O
mitigation	O
in	O
remote	O
areas	O
of	O
Indonesia	O
.	O
Implementation	B
of	O
regulation	B
and	I
policy	I
framework	I
in	O
disaster	B
management	I
is	O
not	O
yet	O
optimal	O
.	O
Disaster	B
preparedness	I
and	O
mitigation	B
is	O
characterized	O
by	O
the	O
low	O
utilization	O
of	O
technology	B
and	O
information	B
related	O
to	O
the	O
disaster	B
,	O
and	O
various	O
obstacles	O
in	O
the	O
process	O
of	O
evacuation	B
and	O
transportation	B
.	O
Promoting	O
local	B
wisdom	I
and	O
enhancing	O
it	O
through	O
integrating	O
science	B
can	O
increase	O
disaster	B
resilience	I
.	O
Conclusion	O
:	O
The	O
existence	O
of	O
a	O
disaster	B
-	I
resilient	I
village	I
is	O
very	O
influential	O
in	O
community	B
preparedness	I
in	O
dealing	O
with	O
disasters	B
and	O
other	O
emergencies	B
.	O
This	O
study	O
provides	O
some	O
recommendations	O
for	O
disaster	B
risk	I
reduction	I
:	O
a	O
)	O
strengthening	O
policies	B
related	O
to	O
evacuation	B
procedures	I
in	O
the	O
health	B
sector	I
by	O
local	B
government	I
,	O
b	O
)	O
integrating	O
transportation	B
modes	I
in	O
remote	B
areas	I
,	O
c	O
)	O
enhancing	O
all	O
parties	O
with	O
education	B
and	O
training	B
,	O
d	O
)	O
establishing	O
community	B
-	I
based	I
information	I
systems	I
;	O
and	O
e	O
)	O
strengthening	O
the	O
disaster	B
resilience	I
of	O
villages	B
.	O
