For	O
example	O
,	O
the	O
cohesion	B
between	O
sediment	B
particles	I
could	O
be	O
increased	O
by	O
microorganisms	B
through	O
secreting	O
extracellular	B
polymeric	I
substances	I
(	I
EPS	I
)	I
so	O
as	O
to	O
enhance	O
sediment	B
stability	I
;	O
salt	B
-	I
tolerant	I
vegetation	I
has	O
an	O
ability	O
to	O
improve	O
the	O
stability	B
of	O
the	O
sediment	B
bed	I
by	O
capacity	O
of	O
sediment	B
retention	I
and	O
reducing	O
hydrodynamic	B
force	I
;	O
the	O
structure	O
of	O
sediment	B
bed	I
could	O
be	O
destroyed	O
by	O
coastal	B
benthos	I
through	O
feeding	B
and	O
burrowing	B
,	O
which	O
would	O
lead	O
to	O
the	O
failure	B
of	O
the	O
bed	O
.	O
