A	O
review	O
is	O
presented	O
of	O
the	O
physiological	B-PROCESS
mechanisms	I-PROCESS
developed	O
by	O
benthic	B-RESOURCE
macroalgae	I-RESOURCE
to	O
cope	O
with	O
deleterious	O
wavelengths	B-PROCESS
,	O
particularly	O
UV	B-PROCESS
radiation	I-PROCESS
.	O
Photoinhibition	B-PROCESS
of	O
photosynthesis	B-PROCESS
,	O
is	O
a	O
photoprotective	B-RESOURCE
mechanism	I-RESOURCE
in	O
various	O
species	B-RESOURCE
studied	O
in	O
southern	O
Spain	B-LOCATION
.	O
Incubations	B-PROCESS
in	O
outdoor	B-RESOURCE
systems	I-RESOURCE
and	O
transplantation	B-PROCESS
experiments	O
under	O
natural	B-PROCESS
radiation	I-PROCESS
allowed	O
to	O
led	O
to	O
understanding	O
of	O
some	O
the	O
photoprotective	B-RESOURCE
strategies	I-RESOURCE
used	O
by	O
red	B-RESOURCE
algae	I-RESOURCE
.	O
Under	O
conditions	O
of	O
enhanced	B-PROCESS
UV	I-PROCESS
-	I-PROCESS
B	I-PROCESS
radiation	I-PROCESS
,	O
algae	B-RESOURCE
in	O
shallow	B-LOCATION
sites	I-LOCATION
show	O
marked	O
photoinhibition	B-PROCESS
and	O
rapid	O
recovery	B-PROCESS
of	O
photosynthesis	B-PROCESS
(	O
dynamic	B-PROCESS
photoinhibition	I-PROCESS
)	O
,	O
whereas	O
algae	B-RESOURCE
from	O
deeper	B-LOCATION
locations	I-LOCATION
can	O
suffer	O
photodamage	B-PROCESS
(	O
chronic	B-PROCESS
photoinhibition	I-PROCESS
)	O
.	O
The	O
expression	O
of	O
this	O
photoprotective	B-RESOURCE
strategy	I-RESOURCE
by	O
intertidal	B-RESOURCE
species	I-RESOURCE
represents	O
an	O
efficient	O
physiological	B-PROCESS
adaptation	I-PROCESS
to	O
tolerate	O
deleterious	O
irradiance	B-PROCESS
,	O
when	O
low	B-PROCESS
tides	I-PROCESS
coincide	O
with	O
the	O
onset	O
of	O
solar	B-PROCESS
radiation	I-PROCESS
.	O
Subtidal	B-RESOURCE
species	I-RESOURCE
can	O
be	O
also	O
exposed	O
to	O
high	O
doses	O
of	O
UV	B-PROCESS
radiation	I-PROCESS
.	O
This	O
is	O
particularly	O
evident	O
in	O
clear	O
,	O
Mediterranean	B-LOCATION
waters	I-LOCATION
,	O
where	O
light	B-RESOURCE
(	O
including	O
UV	B-RESOURCE
-	I-RESOURCE
B	I-RESOURCE
)	O
can	O
reach	O
to	O
10	O
m	O
depth	O
.	O
The	O
implications	O
of	O
photoacclimation	B-PROCESS
processes	O
for	O
macroalgal	B-RESOURCE
ecology	I-RESOURCE
in	O
warm	B-LOCATION
-	I-LOCATION
temperate	I-LOCATION
littorals	I-LOCATION
and	O
the	O
possible	O
consequences	O
for	O
outdoor	B-PROCESS
cultivation	I-PROCESS
are	O
outlined	O
in	O
terms	O
of	O
environmental	B-QUALITY
UV	I-QUALITY
variability	I-QUALITY
.	O
