Results	O
quantify	O
the	O
main	O
LULC	B-PROCESS
changes	O
taking	O
place	O
along	O
the	O
coast	B-LOCATION
of	O
mainland	B-LOCATION
Portugal	B-LOCATION
and	O
confirm	O
the	O
following	O
:	O
i	O
)	O
there	O
is	O
correlation	O
between	O
LULC	B-PROCESS
change	O
,	O
distance	O
to	O
coastline	B-LOCATION
,	O
and	O
distance	O
to	O
regional	O
coastal	B-LOCATION
urban	I-LOCATION
centers	I-LOCATION
;	O
ii	O
)	O
this	O
correlation	O
reveals	O
that	O
'	O
distance	O
'	O
is	O
one	O
of	O
the	O
factors	O
causing	O
physical	B-PROCESS
change	I-PROCESS
in	O
coastal	B-LOCATION
areas	I-LOCATION
;	O
iii	O
)	O
urban	B-PROCESS
pressure	I-PROCESS
in	O
coastal	B-LOCATION
areas	I-LOCATION
displays	O
marked	O
regional	O
differences	O
,	O
being	O
generally	O
higher	O
in	O
the	O
Algarve	B-LOCATION
and	O
Norte	B-LOCATION
regions	O
.	O
