Gujarats	B-LOCATION
soil	B-QUALITY
type	I-QUALITY
has	O
a	O
wide	O
range	O
of	O
classification	O
,	O
and	O
so	O
,	O
the	O
different	O
properties	O
like	O
the	O
N	B-QUALITY
-	I-QUALITY
value	I-QUALITY
,	O
type	O
of	O
sample	B-RESOURCE
,	O
the	O
depth	B-QUALITY
at	O
which	O
the	O
sample	B-RESOURCE
are	O
obtained	O
,	O
type	O
of	O
soil	B-RESOURCE
in	O
that	O
region	O
,	O
depth	B-QUALITY
of	O
water	B-RESOURCE
table	I-RESOURCE
,	O
moisture	B-RESOURCE
content	I-RESOURCE
,	O
field	B-RESOURCE
dry	B-QUALITY
density	I-QUALITY
,	O
the	O
Atterberg	O
limits	O
are	O
studied	O
.	O
