Here	O
,	O
we	O
review	O
the	O
current	O
knowledge	O
regarding	O
the	O
role	O
of	O
seabirds	B-ACTOR
on	O
coastal	B-PROCESS
ecological	I-PROCESS
processes	I-PROCESS
giving	O
particular	O
emphasis	O
on	O
the	O
linkage	O
between	O
the	O
seabird	B-ACTOR
functions	O
that	O
are	O
crucial	O
in	O
influencing	O
the	O
ecological	B-PROCESS
processes	I-PROCESS
and	O
the	O
provision	B-PROCESS
of	O
ecosystem	B-RESOURCE
services	I-RESOURCE
,	O
and	O
disservices	B-RESOURCE
,	O
for	O
the	O
human	B-QUALITY
well	I-QUALITY
-	I-QUALITY
being	I-QUALITY
.	O
