Maintenance	B-PROCESS
of	O
genetic	B-QUALITY
integrity	I-QUALITY
and	O
diversity	B-QUALITY
of	O
wild	B-ACTOR
populations	I-ACTOR
by	O
eliminating	O
interbreeding	B-PROCESS
with	O
escaped	B-RESOURCE
farmed	I-RESOURCE
salmon	I-RESOURCE
,	O
eliminating	O
poorly	B-QUALITY
planned	I-QUALITY
stocking	I-QUALITY
,	O
and	O
reducing	O
impacts	O
that	O
reduce	O
population	B-QUALITY
sizes	I-QUALITY
to	O
dangerously	O
low	O
levels	O
will	O
support	O
the	O
ability	O
of	O
Atlantic	B-ACTOR
salmon	I-ACTOR
to	O
adapt	O
to	O
changing	B-QUALITY
environments	I-QUALITY
.	O
