Elevated	B-PROCESS
O3	I-PROCESS
exposure	I-PROCESS
led	O
to	O
reductions	O
in	O
most	O
of	O
the	O
growth	B-QUALITY
parameters	I-QUALITY
and	O
pigments	B-RESOURCE
,	O
while	O
ROS	B-QUALITY
levels	I-QUALITY
,	O
histochemical	B-QUALITY
localization	I-QUALITY
of	O
H2O2	B-RESOURCE
and	O
O2	B-RESOURCE
,	O
antioxidative	B-RESOURCE
enzymes	I-RESOURCE
and	O
non	B-RESOURCE
-	I-RESOURCE
enzymatic	I-RESOURCE
antioxidants	I-RESOURCE
(	O
betacyanin	B-RESOURCE
,	O
phenolics	B-RESOURCE
,	O
thiols	B-RESOURCE
and	O
ascorbic	B-RESOURCE
acid	I-RESOURCE
)	O
showed	O
increases	O
.	O
