If	O
Libyan	O
soil	B-RESOURCE
resources	I-RESOURCE
are	O
taken	O
into	O
account	O
by	O
both	O
market	B-ACTOR
and	O
non	B-ACTOR
-	I-ACTOR
market	I-ACTOR
institutions	I-ACTOR
,	O
it	O
will	O
lead	O
to	O
more	O
efficient	O
use	O
of	O
soil	B-RESOURCE
resources	I-RESOURCE
and	O
also	O
should	O
enable	O
the	O
implementation	O
of	O
innovative	O
strategies	B-RESOURCE
,	O
such	O
as	O
integrated	B-RESOURCE
farming	I-RESOURCE
systems	I-RESOURCE
,	O
non	B-PROCESS
-	I-PROCESS
soil	I-PROCESS
-	I-PROCESS
based	I-PROCESS
agricultural	I-PROCESS
production	I-PROCESS
(	O
e	O
.	O
g	O
.	O
,	O
hydroponics	B-PROCESS
)	O
,	O
and	O
alternative	B-PROCESS
farming	I-PROCESS
practices	O
.	O
