Coastal	B-RESOURCE
areas	I-RESOURCE
are	O
home	O
to	O
a	O
myriad	O
of	O
essential	B-PROCESS
services	I-PROCESS
.	O
However	O
,	O
population	B-PROCESS
growth	I-PROCESS
and	O
climate	B-PROCESS
change	I-PROCESS
along	O
with	O
their	O
cascading	B-PROCESS
impacts	I-PROCESS
have	O
had	O
profound	O
impacts	O
on	O
their	O
topography	B-QUALITY
and	O
evolution	B-QUALITY
.	O
Consequently	O
,	O
many	O
coastal	B-LOCATION
regions	I-LOCATION
,	O
of	O
which	O
Ghana	B-LOCATION
'	O
s	O
coast	B-LOCATION
is	O
no	O
exception	O
,	O
are	O
incessantly	O
plagued	O
with	O
hazards	B-PROCESS
that	O
are	O
increasing	O
in	O
magnitude	B-QUALITY
and	O
frequency	B-QUALITY
.	O
Predominantly	O
through	O
the	O
recurrence	O
of	O
floods	B-PROCESS
and	O
erosion	B-PROCESS
,	O
Ghana	B-LOCATION
'	O
s	O
coast	B-LOCATION
is	O
becoming	O
increasingly	O
susceptible	O
to	O
huge	O
socio	B-QUALITY
-	I-QUALITY
economic	I-QUALITY
implications	I-QUALITY
considering	O
its	O
environment	B-QUALITY
-	I-QUALITY
dependent	I-QUALITY
economy	I-QUALITY
.	O
Therefore	O
,	O
attempts	O
have	O
been	O
made	O
to	O
assess	O
Ghana	B-LOCATION
'	O
s	O
coastal	B-QUALITY
vulnerability	I-QUALITY
to	O
comprehend	O
the	O
complexities	O
underpinning	O
the	O
occurrence	O
of	O
these	O
hazards	B-PROCESS
.	O
However	O
,	O
most	O
studies	O
attribute	O
the	O
recurrence	O
of	O
floods	B-PROCESS
and	O
erosion	B-PROCESS
to	O
global	O
sea	B-PROCESS
-	I-PROCESS
level	I-PROCESS
rise	I-PROCESS
,	O
but	O
coastal	B-PROCESS
land	I-PROCESS
subsidence	I-PROCESS
could	O
also	O
have	O
significant	O
impacts	O
.	O
Indeed	O
,	O
land	B-PROCESS
subsidence	I-PROCESS
is	O
a	O
major	O
component	O
of	O
relative	B-PROCESS
sea	I-PROCESS
-	I-PROCESS
level	I-PROCESS
rise	I-PROCESS
(	I-PROCESS
rSLR	I-PROCESS
)	I-PROCESS
in	O
many	O
coastal	B-LOCATION
cities	I-LOCATION
worldwide	O
.	O
Drawing	O
on	O
extant	O
literature	O
,	O
this	O
scoping	O
study	O
provides	O
an	O
overview	O
and	O
evaluation	O
of	O
three	O
thematic	O
areasSLR	O
,	O
subsidence	O
and	O
coastal	O
vulnerabilitywithin	O
the	O
Ghanaian	O
context	O
along	O
with	O
their	O
existing	O
relationships	O
.	O
Additionally	O
,	O
it	O
seeks	O
to	O
also	O
assess	O
available	O
knowledge	O
and	O
data	O
and	O
to	O
identify	O
crucial	O
knowledge	O
gaps	O
which	O
impede	O
comprehensive	O
risk	O
assessment	O
of	O
Ghana	O
'	O
s	O
coast	O
.	O
The	O
survey	O
findings	O
,	O
however	O
,	O
indicate	O
a	O
significant	O
understudy	O
of	O
the	O
selected	O
thematic	O
areas	O
albeit	O
posing	O
potential	O
threats	B-PROCESS
to	O
Ghana	B-LOCATION
'	O
s	O
coast	B-LOCATION
.	O
It	O
brought	O
to	O
light	O
the	O
absence	O
of	O
a	O
ground	O
-	O
validated	O
subsidence	B-PROCESS
study	O
;	O
a	O
non	O
-	O
identification	O
of	O
potential	O
local	B-ACTOR
subsidence	I-ACTOR
drivers	I-ACTOR
;	O
a	O
non	O
-	O
availability	O
of	O
a	O
subsidence	B-PROCESS
-	O
infused	O
coastal	B-PROCESS
vulnerability	I-PROCESS
assessment	I-PROCESS
;	O
non	O
-	O
existing	O
studies	O
on	O
the	O
combined	B-PROCESS
effects	I-PROCESS
of	O
climate	B-PROCESS
change	I-PROCESS
and	O
subsidence	B-PROCESS
;	O
and	O
huge	O
deficits	O
in	O
available	O
data	O
for	O
numerical	O
modelling	O
of	O
coastal	B-PROCESS
subsidence	I-PROCESS
.	O
Guided	O
by	O
the	O
identified	O
knowledge	O
and	O
data	O
gaps	O
and	O
the	O
need	O
to	O
mitigate	O
impacts	O
,	O
the	O
study	O
recommends	O
a	O
thorough	O
assessment	O
of	O
rSLR	O
and	O
vulnerability	O
;	O
a	O
continuous	O
and	O
long	O
-	O
term	O
monitoring	O
framework	O
for	O
rSLR	O
and	O
its	O
drivers	O
;	O
a	O
hybrid	O
approach	O
and	O
review	O
of	O
coastal	O
management	O
strategies	O
;	O
and	O
the	O
reinforcement	O
of	O
conservational	O
laws	O
and	O
conventions	O
to	O
avert	O
the	O
increasing	O
vulnerability	O
of	O
Ghana	O
'	O
s	O
coast	O
.	O
