Preservation	B-PROCESS
style	O
with	O
respect	O
to	O
abrasion	B-PROCESS
,	O
fragmentation	B-PROCESS
and	O
encrustation	B-PROCESS
can	O
vary	O
widely	O
among	O
different	O
taxa	B-RESOURCE
and	O
environments	B-RESOURCE
and	O
are	O
interpreted	O
as	O
a	O
function	O
of	O
constructional	B-QUALITY
morphology	I-QUALITY
and	O
ambient	O
environmental	B-QUALITY
factors	I-QUALITY
.	O
The	O
echinoid	B-RESOURCE
assemblages	B-RESOURCE
of	O
Funtanazza	B-LOCATION
contain	O
taxa	B-RESOURCE
which	O
,	O
in	O
part	O
,	O
are	O
widespread	O
in	O
the	O
Miocene	O
sedimentary	B-RESOURCE
successions	I-RESOURCE
of	O
the	O
circum	B-LOCATION
-	I-LOCATION
Mediterranean	I-LOCATION
area	I-LOCATION
.	O
