Species	B-ACTOR
suffering	O
potentially	O
significant	O
impacts	O
of	O
gillnet	B-RESOURCE
mortality	B-QUALITY
include	O
common	B-ACTOR
guillemot	I-ACTOR
(	O
Uria	B-ACTOR
aalge	I-ACTOR
)	O
,	O
thick	B-ACTOR
-	I-ACTOR
billed	I-ACTOR
guillemot	I-ACTOR
(	O
Uria	B-ACTOR
lomvia	I-ACTOR
)	O
,	O
red	B-ACTOR
-	I-ACTOR
throated	I-ACTOR
loon	I-ACTOR
(	O
Gavia	B-ACTOR
stellata	I-ACTOR
)	O
,	O
Humboldt	B-ACTOR
penguin	I-ACTOR
(	O
Spheniscus	B-ACTOR
humboldti	I-ACTOR
)	O
,	O
Magellanic	B-ACTOR
penguin	I-ACTOR
(	O
Spheniscus	B-ACTOR
magellanicus	I-ACTOR
)	O
,	O
yellow	B-ACTOR
-	I-ACTOR
eyed	I-ACTOR
penguin	I-ACTOR
(	O
Megadyptes	B-ACTOR
antipodes	I-ACTOR
)	O
,	O
little	B-ACTOR
penguin	I-ACTOR
(	O
Eudyptula	B-ACTOR
minor	I-ACTOR
)	O
,	O
greater	B-ACTOR
scaup	I-ACTOR
(	O
Aythya	B-ACTOR
marila	I-ACTOR
)	O
and	O
long	B-ACTOR
-	I-ACTOR
tailed	I-ACTOR
duck	I-ACTOR
(	O
Clangula	B-ACTOR
hyemalis	I-ACTOR
)	O
.	O
