Little	O
effect	O
on	O
total	B-QUALITY
or	I-QUALITY
relative	I-QUALITY
cell	I-QUALITY
abundance	I-QUALITY
or	O
bulk	B-PROCESS
bacterial	I-PROCESS
production	I-PROCESS
was	O
observed	O
after	O
6	O
or	O
24	O
h	O
exposure	O
to	O
7	O
.	O
5	O
nM	O
of	O
the	O
3	O
different	O
PUAs	B-RESOURCE
for	O
the	O
different	O
bacterial	B-ACTOR
phylogenetic	I-ACTOR
groups	I-ACTOR
(	O
Gammaproteobacteria	B-ACTOR
,	O
Bacteroidetes	B-ACTOR
,	O
Rhodobacteraceae	B-ACTOR
and	O
SAR11	B-ACTOR
)	O
,	O
assessed	O
by	O
catalysed	O
reporter	O
deposition	O
(	O
CARD	O
)	O
-	O
fluorescence	O
in	O
situ	O
hybridisation	O
(	O
FISH	O
)	O
.	O
