The	O
most	O
pronounced	O
assemblage	B-RESOURCE
differences	O
between	O
equivalent	O
areas	O
of	O
either	O
site	O
occurred	O
on	O
the	O
lower	B-LOCATION
upper	I-LOCATION
eulittoral	I-LOCATION
band	O
followed	O
by	O
the	O
lower	B-LOCATION
eulittoral	I-LOCATION
and	O
the	O
sub	B-LOCATION
-	I-LOCATION
littoral	I-LOCATION
fringe	I-LOCATION
,	O
respectively	O
.	O
The	O
littoral	B-LOCATION
fringe	I-LOCATION
assemblage	B-RESOURCE
was	O
the	O
only	O
one	O
that	O
did	O
not	O
show	O
significant	O
differences	O
among	O
the	O
studied	O
sites	O
,	O
yet	O
a	O
larger	O
range	O
of	O
this	O
fringe	O
and	O
the	O
upper	B-LOCATION
eulittoral	I-LOCATION
band	O
at	O
Barra	B-LOCATION
was	O
quite	O
evident	O
.	O
