These	O
criteria	O
include	O
(	O
1	O
)	O
limited	O
influence	O
of	O
wind	B
and	O
waves	B
on	O
the	O
depositional	B
environment	I
,	O
(	O
2	O
)	O
lack	O
of	O
significant	O
freshwater	B
influence	O
and	O
therefore	O
any	O
persistent	O
brackish	B
environments	I
,	O
(	O
3	O
)	O
a	O
distinct	O
spatial	B
distribution	I
of	O
microenvironments	B
defined	O
by	O
substrate	B
and	O
exposure	B
period	O
,	O
(	O
4	O
)	O
high	O
diversity	B
of	O
epichnial	B
traces	I
directly	O
associated	O
with	O
microenvironments	B
across	O
the	O
tidal	B
flat	I
,	O
(	O
5	O
)	O
generally	O
low	O
degree	O
of	O
reworking	B
of	O
traces	B
by	O
bioturbation	B
but	O
high	O
degree	O
of	O
reworking	B
by	O
tidal	B
currents	I
,	O
and	O
(	O
6	O
)	O
preservation	B
of	O
traces	B
of	O
predation	B
and	O
scavenging	B
behavior	I
on	O
an	O
exposed	B
surface	I
.	O
