The	O
recent	O
advances	O
of	O
mangrove	B
restoration	I
within	O
four	O
processes	O
were	O
reviewed	O
,	O
namely	O
;	O
(	O
1	O
)	O
site	O
-	O
species	O
matching	O
,	O
which	O
includes	O
temperature	B
,	O
substrates	B
and	O
hydrological	B
factors	I
of	O
afforestation	B
sites	I
;	O
(	O
2	O
)	O
selection	B
and	O
introduction	B
of	O
mangrove	B
species	I
,	O
that	O
includes	O
status	O
of	O
native	B
specie	I
'	O
s	O
selection	B
and	O
exotic	O
one	O
'	O
s	O
introduction	B
;	O
(	O
3	O
)	O
applicationof	O
silviculture	B
techniques	O
,	O
including	O
planting	B
,	O
seedling	B
and	O
sapling	B
nursing	B
techniques	O
,	O
and	O
afforestation	B
cost	O
'	O
s	O
comparison	O
;	O
and	O
(	O
4	O
)	O
post	O
-	O
cultivated	O
management	B
and	O
monitoring	B
,	O
including	O
the	O
sapling	B
'	O
s	O
watching	B
,	O
diseases	B
and	O
pest	B
'	O
s	O
prevention	B
and	O
resistance	B
,	O
and	O
ecological	B
monitoring	I
.	O
