2008	O
.	O
The	O
impact	O
of	O
benzo	B-RESOURCE
(	I-RESOURCE
a	I-RESOURCE
)	I-RESOURCE
pyrene	I-RESOURCE
(	I-RESOURCE
BaP	I-RESOURCE
)	I-RESOURCE
ship	B-PROCESS
emissions	I-PROCESS
on	O
concentration	B-QUALITY
and	O
deposition	B-PROCESS
distributions	B-QUALITY
over	O
Europe	B-LOCATION
and	O
in	O
particular	O
over	O
North	B-LOCATION
Sea	I-LOCATION
coastal	B-LOCATION
areas	I-LOCATION
in	O
comparison	O
to	O
land	B-PROCESS
-	I-PROCESS
based	I-PROCESS
emissions	I-PROCESS
is	O
subject	O
of	O
this	O
study	O
.	O
