Seabirds	B-ACTOR
can	O
contribute	O
to	O
shaping	O
coastal	B-PROCESS
ecological	I-PROCESS
processes	I-PROCESS
and	O
services	B-RESOURCE
in	O
a	O
multitude	O
of	O
ways	O
,	O
among	O
which	O
directly	O
influencing	O
trophic	B-QUALITY
status	I-QUALITY
,	O
environmental	B-PROCESS
contamination	I-PROCESS
,	O
biodiversity	B-RESOURCE
and	O
food	B-QUALITY
webs	I-QUALITY
through	O
trophic	B-QUALITY
(	O
bottom	O
-	O
up	O
or	O
top	O
-	O
down	O
)	O
and	O
non	B-PROCESS
-	I-PROCESS
trophic	I-PROCESS
processes	I-PROCESS
.	O
