( micro ) habitats | RESOURCE
13C | RESOURCE
14C depleted organic matter | RESOURCE
14C | RESOURCE
15N | RESOURCE
2E , 4E / Z - decadienal ( DECA ) | RESOURCE
2E , 4E / Z - heptadienal ( HEPTA ) | RESOURCE
2E , 4E / Z - octadienal ( OCTA ) | RESOURCE
5 , 6 , 11 - trideoxyTTX ( TDT ) | RESOURCE
A . alba | RESOURCE
A . aurita | ACTOR
A . coerulea | ACTOR
AMO | PROCESS
ANAs | RESOURCE
APAH | RESOURCE
APAHs | RESOURCE
APHs | RESOURCE
ARGs | RESOURCE
ARs | RESOURCE
AWARE project | RESOURCE
Aboriginal | QUALITY
Accra | LOCATION
Acidification | PROCESS
Acroperus harpae | RESOURCE
Acropora | ACTOR
Adaptation | PROCESS
Adelaide | LOCATION
Adriatic Sea | LOCATION
Adult migrants | ACTOR
Adults | ACTOR
Aerated Static Pile ( ASP ) bioreactor system | RESOURCE
Africa | LOCATION
Agencies | ACTOR
Agricultural drainage ditches | RESOURCE
Akaray Basin | LOCATION
Akaray | LOCATION
Akwapim fault zone | LOCATION
Al | RESOURCE
Alabama | LOCATION
Alborz Mountains | LOCATION
Algal polysaccharides | RESOURCE
Algarve | LOCATION
Algoa Bay | LOCATION
Alkyl polycyclic aromatic hydrocarbons ( APAHs ) | RESOURCE
Allogalathea elegans | ACTOR
Alpine lakes | RESOURCE
Alubijid | LOCATION
Amalfi Coast | LOCATION
Amazon | LOCATION
Ameronothridae | ACTOR
Anchicodiaceae Shuysky | RESOURCE
Andalusia | LOCATION
Andes | LOCATION
Anguilla anguilla | ACTOR
Anhui | LOCATION
Anisotropy | QUALITY
Anjuna | LOCATION
Anomura | ACTOR
Anostraca | RESOURCE
Antarctic Slope Front ( ASF ) | PROCESS
Antarctic Specially Managed Areas | RESOURCE
Apalachicola Bay | LOCATION
Apulia | LOCATION
Apulian | LOCATION
Aquatic organisms | RESOURCE
Aqueous calcium ( Ca ) | RESOURCE
Aquitanian | LOCATION
Arabian Gulf | LOCATION
Arabian Peninsula | LOCATION
Arctic | LOCATION
Argentina | LOCATION
Argentinian shelf - break | LOCATION
Aristichthys nobilis | ACTOR
Artemia | RESOURCE
Arthropod assemblages | RESOURCE
As ( III ) | RESOURCE
As ( V ) | RESOURCE
As | RESOURCE
Asellus aquaticus | ACTOR
Asi | LOCATION
Asian silver carp | ACTOR
Atlantic Meridional Overturning Circulation ( AMOC ) | PROCESS
Atlantic Multidecadal Oscillation ( AMO ) | PROCESS
Atlantic Ocean | LOCATION
Atlantic overturning circulation | PROCESS
Atlantic salmon | ACTOR
Atlantic | LOCATION
Auckland | LOCATION
Aurelia coerulea | ACTOR
Austos Pond | LOCATION
Australia | LOCATION
Australian Plate | RESOURCE
Austropuccinia psidii | ACTOR
AuthorsClimate change | PROCESS
Aveiro Lagoon | LOCATION
Aveiro | LOCATION
Avicennia alba | RESOURCE
Aythya marila | ACTOR
Ayun Mousa | LOCATION
Azov - Black Sea | LOCATION
Azov Sea | LOCATION
B2 station | LOCATION
BCF value | QUALITY
BJBR | LOCATION
BT compounds | RESOURCE
BT degradation | PROCESS
BTs | RESOURCE
BaP | RESOURCE
Bacterial viability | QUALITY
Bacteroidetes | ACTOR
Bacteroidetes | RESOURCE
Baengnyeongdo Island | LOCATION
Baengnyeongdo | LOCATION
Baetidae mayflies | ACTOR
Baffin Bay - Davis Strait | LOCATION
Baie - du - Febvre | LOCATION
Baijuhuajian | LOCATION
Baltic Sea community | RESOURCE
Baltic Sea | LOCATION
Baltic | LOCATION
Banggai Islands | LOCATION
Banggai cardinalfish | ACTOR
Bangka Belitung | LOCATION
Bangladesh | LOCATION
Baodao fault terrace zone | LOCATION
Baodao | LOCATION
Barcarena | LOCATION
Barra do Furado | LOCATION
Barra | LOCATION
Bas - Champs | LOCATION
Basic Oxygen Furnace Slag | RESOURCE
Basin of Spitsbergen | LOCATION
Bay of Authie | LOCATION
Bay of Bengal | LOCATION
Bay of Biscay | LOCATION
Bay of Fundy | LOCATION
Bay of Somme | LOCATION
Bay | LOCATION
Beach nourishment | PROCESS
Bearded seals | ACTOR
Beaufort Sea | LOCATION
Bechatw Lignite Mine | LOCATION
Bee Jay Bakau Resort ( BJBR ) | LOCATION
Beibu Gulf | LOCATION
Belm | LOCATION
Belt and Road Initiative | RESOURCE
Belyounech 2 | LOCATION
Berezovsky trough | LOCATION
Bhavnagar district | LOCATION
Bilaiyim | LOCATION
Bilbao estuary | RESOURCE
Bilbao | LOCATION
Binuclearia | RESOURCE
Biogenic reefs | RESOURCE
Biograd | LOCATION
Biomass | QUALITY
Biotope matrices | RESOURCE
Birds | ACTOR
Black Sea Convention | RESOURCE
Black Sea | LOCATION
Blanes Bay | LOCATION
Bohai | LOCATION
Boka Kotorska Bay | LOCATION
Bolivian High Andes | LOCATION
Bosmina species | RESOURCE
Bosminidae | RESOURCE
Bottom - water | RESOURCE
Bottom friction | PROCESS
Brachyura | ACTOR
Brazil | ACTOR
Brazil | LOCATION
Brazilian Amazon | LOCATION
Brazilian population | ACTOR
Brazilian | LOCATION
Breeding sites | LOCATION
Brindisi | LOCATION
Brown trout | ACTOR
Bryopsidophyceae | RESOURCE
Buceo | LOCATION
Bugach freshwater reservoir | LOCATION
Built - up area change detection ( BCD ) | PROCESS
Byuk formation | LOCATION
C , riparius | ACTOR
C . chromis | ACTOR
C . nozakii | ACTOR
C . patoca | ACTOR
C . piger | ACTOR
C . reniformis | RESOURCE
C . teedii | RESOURCE
C . tropicalis - RETL - Cr1 | RESOURCE
C . violaceum - MAB - Cr1 | RESOURCE
C : N : P ratios | QUALITY
C : P ratio | QUALITY
C : P | QUALITY
C16 acid | RESOURCE
CAJS | LOCATION
CCD | QUALITY
CCMA | RESOURCE
CCMAs | RESOURCE
CEC | QUALITY
CES | RESOURCE
CFC | LOCATION
CFRB | LOCATION
CO2 - rich | QUALITY
CO2 sink | RESOURCE
CO2 | RESOURCE
COVID - 19 | ACTOR
CRZ | RESOURCE
CSP | RESOURCE
CUPs | RESOURCE
CVI | RESOURCE
Ca + + | RESOURCE
Ca burdens | QUALITY
Ca content | QUALITY
Ca contents | QUALITY
Ca decline | PROCESS
Ca declines | PROCESS
Ca requirements | QUALITY
Ca | RESOURCE
Caloplaca | LOCATION
Cameroon | LOCATION
Campania | LOCATION
Campi Flegrei caldera | LOCATION
Canada | LOCATION
Canadian Shield | LOCATION
Canadian | LOCATION
Cap - Ferret Canyon ( CFC ) | LOCATION
Cape Fear River Basin ( CFRB ) | LOCATION
Cape Fear River | LOCATION
Cape Town | LOCATION
Cape Verde Republic | LOCATION
Captive breeding | PROCESS
Carassius carassius | ACTOR
Caribbean | LOCATION
Carnegie Ridge | LOCATION
Carrasco | LOCATION
Cascadia Subduction Zone | LOCATION
Caucasian | LOCATION
Caulerpaceae | RESOURCE
Cd | RESOURCE
Cell Biology in Environmental Toxicology ( CBET ) | ACTOR
Cenozoic tectonic dynamic process | PROCESS
Central Canyon Gas Field | RESOURCE
Central Canyon lithologic trap zone | LOCATION
Central Maluku Regency | LOCATION
Central Sulawesi | LOCATION
Ces Archipelago | LOCATION
Chaetoceros | RESOURCE
Chaetomorpha vieillardii | RESOURCE
Chaetomorpha | RESOURCE
Changchang circum - sag trap zone | LOCATION
Changchang | LOCATION
Channel | LOCATION
Chelonodon patoca | ACTOR
Chile | LOCATION
Chilika lagoon | LOCATION
Chilika | LOCATION
China Sea | LOCATION
China | ACTOR
China | LOCATION
Chinese National Antarctic Research Expedition ( CHINARE ) | ACTOR
Chinese characteristics | QUALITY
Chironomidae | ACTOR
Chironomus riparius Meigen | ACTOR
Chlorophyceae | RESOURCE
Chlorophyll - a | RESOURCE
Chlorophyta | RESOURCE
Chondracanthus teedii ( Mertens ex Roth ) Fredericq | RESOURCE
Chondrosia reniformis | RESOURCE
Chromis chromis | ACTOR
Chydoridae | RESOURCE
Chydorus piger Sars | ACTOR
Cinachyrella cf . cavernosa | ACTOR
Citizen science | RESOURCE
Citizens | ACTOR
Cladophoraceae | RESOURCE
Clangula hyemalis | ACTOR
Climate - model predictions | PROCESS
Climate change | PROCESS
Clypeaster | RESOURCE
Co | RESOURCE
Coastal Change Management Areas ( CCMA ) | RESOURCE
Coastal Natural Hazards | PROCESS
Coastal Regulation Zone ( CRZ ) | RESOURCE
Coastal Spatial Planning ( CSP ) | RESOURCE
Coastal Vulnerability Index ( CVI ) | RESOURCE
Coastal aquatic environments | RESOURCE
Coastal aquifer | RESOURCE
Coastal areas | LOCATION
Coastal areas | RESOURCE
Coastal bioengineering | PROCESS
Coastal caves | RESOURCE
Coastal change | PROCESS
Coastal cliff | RESOURCE
Coastal communities | ACTOR
Coastal flooding | PROCESS
Coastal groundwater aquifers | RESOURCE
Coastal habitats | RESOURCE
Coastal hydrodynamics | PROCESS
Coastal managers | ACTOR
Coastal regions | LOCATION
Coastal storms | PROCESS
Coastal tourism | PROCESS
Coastal zone | LOCATION
Coastlines | RESOURCE
Cocconeis | RESOURCE
Cochin Islands | LOCATION
Cochin | LOCATION
Coenagrionidae damselflies | ACTOR
Coleoptera | ACTOR
Comoros | LOCATION
Compound flood | PROCESS
Comprehensive stock | QUALITY
Concentrations | QUALITY
Construction | PROCESS
Constructions | RESOURCE
Coral Triangle | LOCATION
Coral spawning slicks | RESOURCE
Corethron pennatum | RESOURCE
Coscinodiscus jonesianus | RESOURCE
Coscinodiscus oculs - iridis | RESOURCE
Cr | RESOURCE
Crassostrea virginica | RESOURCE
Crimean | LOCATION
Croatia | LOCATION
Croton bonplandianum baill | RESOURCE
Crustacea | RESOURCE
Crustal instability | QUALITY
Ctenopharyngodon idella | ACTOR
Cu | RESOURCE
Cyanea nozakii | ACTOR
Cymo melanodactylus | ACTOR
Cyprinus carpio | ACTOR
D . trifoliata | RESOURCE
DBT | RESOURCE
DEM | QUALITY
DGR | QUALITY
DIC | RESOURCE
DIN | RESOURCE
DIP | RESOURCE
DMI : Indian Ocean Dipole Mode Index | QUALITY
DMSP / OLS | QUALITY
DNF | PROCESS
DSi | RESOURCE
Daguangba reservoir | LOCATION
Daily precipitation | PROCESS
Daily productivity | QUALITY
Dalya | LOCATION
Damming | PROCESS
Danube Delta Biosphere Reserve ( D . D . B . R . | LOCATION
Daphnia | RESOURCE
Daphniidae | RESOURCE
Dasycladophyceae | RESOURCE
Dateline El Nino ( CP El Nino ) | PROCESS
Datong station | LOCATION
Dead Sea | LOCATION
Debris flow | PROCESS
Deep River | LOCATION
Deepwater Horizon | PROCESS
Density | QUALITY
Department of Irrigation and Drainage ( DID ) | ACTOR
Depleted radiocarbon | RESOURCE
Derris trifoliata | RESOURCE
Desertification | PROCESS
Deterioration | PROCESS
Diadema | ACTOR
Diatoms | RESOURCE
Dicentrarchus labrax | RESOURCE
Diploneis aokiensis | ACTOR
Diploneis conopeospongiosa | ACTOR
Diploneis implicatus | ACTOR
Diploneis lacustris | ACTOR
Diploneis pumicosus | ACTOR
Diploneis | ACTOR
Diptera | ACTOR
Disaster preparedness | QUALITY
Disasters | PROCESS
Disparalona | RESOURCE
Dissolved manganese ( Mn ) | QUALITY
Distribution | QUALITY
Djilor district | LOCATION
Dou River | LOCATION
Dutch | LOCATION
E - W | LOCATION
E . U . | ACTOR
E . canadensis | ACTOR
E . rhomboidea | RESOURCE
EC Directives | RESOURCE
EC | QUALITY
ESV | QUALITY
EU Landing Obligation | RESOURCE
EU | ACTOR
East Asian - Australasian Flyway | LOCATION
East Indonesia | LOCATION
Echinocyamus | RESOURCE
Echinolampas | RESOURCE
Ecological vulnerability evaluations | RESOURCE
Ecological vulnerability | QUALITY
Ecosystem services ( ESs ) | RESOURCE
Ecotourism | PROCESS
Ecuador | LOCATION
Effective modeling | PROCESS
Egypt | ACTOR
Egypt | LOCATION
Egyptian | LOCATION
El - Qaa ' | LOCATION
El - Tor | LOCATION
El Hwad | LOCATION
El Nino | PROCESS
El Nio / | PROCESS
El Nio Southern Oscillation ( ENSO ) | PROCESS
El Nio | PROCESS
El Salvador City | LOCATION
Eldana saccharina ( Walker ) | ACTOR
Elevated O3 exposure | PROCESS
Elodea canadensis | ACTOR
Emilia - Romagna | LOCATION
England | LOCATION
English Channel | LOCATION
Environmental Protection and Management ( UUPPLH ) | RESOURCE
Ephemeroptera , Plecoptera and Trichoptera ( EPT ) | ACTOR
Epinephelus marginatus | ACTOR
Erignathus barbatus | ACTOR
Ernakulam district | LOCATION
Erosion | PROCESS
Erosional | PROCESS
Erythrean | LOCATION
Escherichia coli | ACTOR
Espinho | LOCATION
Estuaries | LOCATION
Estuarine macroalgae | RESOURCE
Estuary | RESOURCE
Eucalyptus | RESOURCE
Eucheuma cotonii | RESOURCE
Eudyptula minor | ACTOR
Eunotia veneris | RESOURCE
Europe | LOCATION
European Union | ACTOR
European countries | ACTOR
European eel | ACTOR
European marine policies | RESOURCE
European perch | ACTOR
European | LOCATION
Eutrophication | PROCESS
Evacuation plans | RESOURCE
Evaporation duct | PROCESS
Excessive primary productivity | PROCESS
Exchangeable Sodium Percentage | QUALITY
FA composition | QUALITY
FAs | RESOURCE
Farol de So Tom | LOCATION
Fe | RESOURCE
Fernando de Noronha | LOCATION
Fertilizer application | PROCESS
Fielder Ridge | LOCATION
Firkanten Formation | LOCATION
Fish assemblages | RESOURCE
Fisheries Act | RESOURCE
Fisheries Protection Program | RESOURCE
Fishing effort | PROCESS
Fishing | PROCESS
Fissurella clench | RESOURCE
Flamingolepis liguloides | ACTOR
Flocculation | PROCESS
Flooding | PROCESS
Floodwaters | RESOURCE
Florida | LOCATION
Food habits | QUALITY
Forestland | RESOURCE
Fragmentation analysis | PROCESS
Franca | LOCATION
French | LOCATION
Freshwater littoral | LOCATION
Fucus | RESOURCE
Fujian | LOCATION
Fukuoka | LOCATION
Funtanazza | LOCATION
Furadouro | LOCATION
G . fasciatus | ACTOR
G . ghoerensis | ACTOR
G . lacustris | ACTOR
GBM | LOCATION
GIZCAM | RESOURCE
GPP | PROCESS
GW recharge | PROCESS
Gambusia affinis | ACTOR
Gammaproteobacteria | ACTOR
Gammarus lacustris Sars | ACTOR
Gammarus | ACTOR
Ganga River basin | LOCATION
Garra rufa | ACTOR
Gavia stellata | ACTOR
Genocidaris | RESOURCE
Geo - accumulation index | QUALITY
Geomorphological knowledge | RESOURCE
Germany | LOCATION
Geukensia demissa | ACTOR
Ghana | LOCATION
Ghandouri | LOCATION
Gillnet fisheries | PROCESS
Gimolskoe | LOCATION
Gironde Estuary | LOCATION
Global Spatial Autocorrelation | QUALITY
Gmelinoides fasciatus | ACTOR
Goa | LOCATION
Golestan Forest | LOCATION
Golestan reservoir | LOCATION
Gonatonotus nasutus | ACTOR
Gracilaria coronopifolia | RESOURCE
Gracilaria domingensis ( Ktzing ) Sonder ex Dickie | RESOURCE
Grateloupia | RESOURCE
Greece | ACTOR
Greece | LOCATION
Green building | PROCESS
Groups | ACTOR
Gsp 9 . 1 | RESOURCE
Guangdong Province | LOCATION
Guangdong | LOCATION
Guangxi | LOCATION
Guangzhou | LOCATION
Guizhou | LOCATION
Gujarat | LOCATION
Gujarats | LOCATION
Gulf nations | ACTOR
Gulf of Guayaquil | LOCATION
Gulf of Mannar | LOCATION
Gulf of Mexico | LOCATION
Gulf of Naples | LOCATION
Gulf of Suez | LOCATION
Gulf | LOCATION
H . menziesi | ACTOR
H2O2 | RESOURCE
HABs | PROCESS
HEU | PROCESS
HNEU | PROCESS
HSA | LOCATION
Habitat loss | PROCESS
Haikou | LOCATION
Haimen Bay | LOCATION
Hainan Island | LOCATION
Hainan | LOCATION
Halacaridae | ACTOR
Hammam Faroun | LOCATION
Harbours | RESOURCE
Harmful Algal Blooms ( HABs ) | PROCESS
Hartselle Sandstone | LOCATION
Hathab | LOCATION
Healthy China | RESOURCE
Heavy metals | RESOURCE
Hemigmmmocapoeta nana | ACTOR
Hemiptera | ACTOR
Herbivores | ACTOR
Hexanchiformes | ACTOR
Hexanchiformes | RESOURCE
Heyuan Fault | RESOURCE
Hg | RESOURCE
High - frequency tide - surge - river interactions | QUALITY
High - high ( HH ) regions | LOCATION
Himalayan Mountains | LOCATION
Himalayan | LOCATION
Himalayas | LOCATION
Hokkaido | LOCATION
Hong Kong | LOCATION
Hongdo Island | LOCATION
Hongdo | LOCATION
Horonobe | LOCATION
Huangshadong - Shiba area ( HSA ) | LOCATION
Hudson Complex | LOCATION
Human actions | PROCESS
Human disturbance | PROCESS
Human health | QUALITY
Humboldt penguin | ACTOR
Hurricane Florence | PROCESS
Hurricanes | PROCESS
Hyadesiidae | ACTOR
Hypnea musciformis ( Wulfen in jacqu . ) | RESOURCE
Hypophthalmichthys molitrix | ACTOR
Hypsoclypus | RESOURCE
Hyridella menziesi ( Gray ) | ACTOR
Hyridella | ACTOR
IAS Cortaderia selloana | RESOURCE
IAS | RESOURCE
ICZM | PROCESS
IMTA | PROCESS
IRD | RESOURCE
IUCN | ACTOR
IWWTP | RESOURCE
Iberian Peninsula | LOCATION
Ibuprofen | RESOURCE
Ice - sheet | RESOURCE
Ice plant | RESOURCE
Iceland margin | LOCATION
Iceland | LOCATION
Ictalurus punctatus | ACTOR
Ictiobus bubalus | RESOURCE
Igeo | QUALITY
Ile de Camargue | LOCATION
Implementation | PROCESS
Imposex occurrence | QUALITY
Incubations | PROCESS
India | ACTOR
India | LOCATION
IndiaEurasia collision | PROCESS
Indian Ocean | LOCATION
Indian Wildlife Protection Act | RESOURCE
Indian waters | LOCATION
Indian | LOCATION
Individual parasequences | QUALITY
Individuals | ACTOR
Indo - Pacific | LOCATION
Indo - West Pacific ( IWP ) | LOCATION
Indonesia | LOCATION
Indonesian Archipelago | LOCATION
IndosinianEurasian Plate collision | PROCESS
Inferred ice divides | PROCESS
Inshore marine areas | RESOURCE
Integrated Coastal Zone Management ( ICZM ) | PROCESS
Integrated Coastal Zone Management ( ICZM ) | RESOURCE
Integrated Coastal Zone Management | PROCESS
Intra - annual variability | QUALITY
Invasions | PROCESS
Invasive species | ACTOR
Ireland | LOCATION
Irrawaddy Dolphins ( IRD : Oracella brevirostris ) | RESOURCE
Italian waters | LOCATION
Italian | LOCATION
Italy | LOCATION
Its | ACTOR
Jakarta | LOCATION
Japan International Cooperation Agency ( JICA ) | ACTOR
Japan | LOCATION
Japanese Islands | LOCATION
Java Sea | LOCATION
Jeju Island | LOCATION
Jellyfish | ACTOR
Jiangsu Province ( CAJS ) | LOCATION
Jiangsu Province | LOCATION
Jiangsu | LOCATION
Jiaozhou Bay ( JZB ) | LOCATION
Jiaozhou Bay | LOCATION
Juvenile coho and chinook salmon | ACTOR
Juvenile pink , chum and sockeye salmon | ACTOR
Juveniles | ACTOR
Juveniles | QUALITY
K . alvarezii | RESOURCE
KEI | RESOURCE
KEIs | RESOURCE
Kanyakumari district | LOCATION
Kara Sea | LOCATION
Kerala | LOCATION
Key Environmental Indicators ( KEIs ) | RESOURCE
Kilo 5 | LOCATION
King George Island | LOCATION
Kodimanal | LOCATION
Korean Peninsula | LOCATION
Krasnodar Region | LOCATION
Kudankulam | LOCATION
Kura River | LOCATION
Kuril Islands | LOCATION
Kuroshio Water intrusion | PROCESS
Kuroshio Water | RESOURCE
L . salmonis | ACTOR
L . simulata | ACTOR
LCA | PROCESS
LLJ type | QUALITY
LLJ | PROCESS
LLJs | PROCESS
LP | ACTOR
LUCC detection ( LUCCD ) | PROCESS
LUCC | PROCESS
LULC | PROCESS
La Nia | PROCESS
La Nina | PROCESS
Lac Sainte - Pierre | LOCATION
Laccadive Sea | LOCATION
Ladoga Lake | LOCATION
Lake Baikal | LOCATION
Lake Eber | LOCATION
Lake Gardsjon | LOCATION
Lake Gimolskoe | LOCATION
Lake Karamk | LOCATION
Lake Kissimmee | LOCATION
Lake Kitaura | LOCATION
Lake Oahe | LOCATION
Lake Pleshcheyevo | LOCATION
Lake Sainte - Pierre | LOCATION
Lake Sainte Pierre | LOCATION
Lake Shira | LOCATION
