Sentence,Labels,yake_preds_en,text_rank_preds_en,single_rank_preds_en,topical_page_rank_preds_en,multipartie_rank_preds_en,position_rank_preds_en,topic_rank_preds_en
"Worldwide , highly populated countries are experiencing an imbalance between the supply and demand of water","['O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B']","['highly populated countries', 'highly populated', 'populated countries', 'worldwide', 'water', 'highly', 'populated', 'countries', 'experiencing', 'imbalance']",['populated'],"['populated countries', 'supply', 'imbalance', 'demand', 'water']","['populated countries', 'imbalance', 'supply', 'demand', 'water']","['demand', 'supply', 'water', 'imbalance', 'populated countries']","['populated countries', 'imbalance', 'supply', 'demand', 'water']","['demand', 'supply', 'water', 'imbalance', 'populated countries']"
India is one such example which has only 4 % of the world ' s water resources and a population of more than 1,"['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'O', 'O', 'O']","['water resources', 'india', 'example', 'world', 'water', 'resources', 'population']",['such example'],"['water resources', 'such example', 'world', '%', 'more', 'population', 'india']","['water resources', 'such example', 'world', '%', 'population', 'india']","['water resources', 'world', 'population', 'india']","['such example', 'water resources', 'india', '%', 'world', 'population']","['water resources', 'world', 'population', 'india']"
3 billion,"['O', 'O']",['billion'],[],[],[],[],[],[]
"Its water demand is expected to rise by more than 75 % in the upcoming decades due to fast population growth and expansion of irrigated agriculture , industrialisation and urbanisation","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B']","['fast population growth', 'water demand', 'upcoming decades', 'fast population', 'population growth', 'irrigated agriculture', 'urbanisation', 'water', 'demand', 'expected']","['water demand', 'population', 'upcoming']","['fast population growth', 'upcoming decades', 'expansion', 'water demand', '%', 'more', 'industrialisation', 'agriculture', 'urbanisation']","['fast population growth', 'upcoming decades', 'water demand', 'expansion', '%', 'agriculture', 'industrialisation', 'urbanisation']","['industrialisation', 'agriculture', 'fast population growth', 'expansion', 'urbanisation', 'upcoming decades', 'water demand']","['fast population growth', 'water demand', 'upcoming decades', '%', 'expansion', 'agriculture', 'industrialisation', 'urbanisation']","['industrialisation', 'agriculture', 'fast population growth', 'expansion', 'urbanisation', 'upcoming decades', 'water demand']"
"The consequences of this increased demand are already visible such as water quality deterioration near urban centres , water table lowering in the North - Western region , and seawater intrusion in coastal areas due to aquifer over - exploitation","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'O', 'B']","['quality deterioration near', 'deterioration near urban', 'near urban centres', 'water quality deterioration', 'water table lowering', 'western region', 'increased demand', 'deterioration near', 'near urban', 'urban centres']","['water quality', 'visible such', 'water', 'urban']","['water quality deterioration', 'water table', 'urban centres', 'western region', 'visible such', 'coastal areas', 'seawater intrusion', 'north', 'demand', 'exploitation']","['water quality deterioration', 'water table', 'urban centres', 'western region', 'coastal areas', 'seawater intrusion', 'north', 'demand', 'exploitation', 'consequences']","['urban centres', 'western region', 'water table', 'seawater intrusion', 'north', 'water quality deterioration', 'coastal areas', 'demand', 'consequences', 'exploitation']","['water quality deterioration', 'water table', 'urban centres', 'western region', 'consequences', 'demand', 'seawater intrusion', 'coastal areas', 'north', 'exploitation']","['urban centres', 'western region', 'water table', 'seawater intrusion', 'north', 'water quality deterioration', 'coastal areas', 'demand', 'consequences', 'exploitation']"
The occurrence of erratic and unreliable rainfall in the past few years has further aggravated the situation,"['O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['unreliable rainfall', 'situation', 'occurrence', 'erratic', 'unreliable', 'rainfall', 'past', 'years', 'aggravated']","['few', 'unreliable']","['past few years', 'unreliable rainfall', 'erratic', 'occurrence', 'situation']","['past few years', 'unreliable rainfall', 'occurrence', 'situation']","['erratic', 'unreliable rainfall', 'occurrence', 'situation']","['past few years', 'unreliable rainfall', 'occurrence', 'situation']","['erratic', 'unreliable rainfall', 'occurrence', 'situation']"
"In such a scenario , information on groundwater - surface water ( GW - SW ) interaction processes is helpful for the conservation and management of water resources","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'I']","['water resources', 'interaction processes', 'surface water', 'resources', 'water', 'scenario', 'information', 'groundwater', 'surface', 'interaction']","['surface water', 'interaction processes', 'water']","['surface water', 'water resources', 'interaction processes', 'helpful', 'gw', 'sw', 'conservation', 'groundwater', 'management', 'information']","['surface water', 'water resources', 'interaction processes', 'sw', 'information', 'gw', 'groundwater', 'conservation', 'scenario', 'management']","['surface water', 'groundwater', 'information', 'management', 'helpful', 'interaction processes', 'scenario', 'conservation', 'water resources']","['surface water', 'water resources', 'interaction processes', 'gw', 'sw', 'groundwater', 'scenario', 'information', 'conservation', 'management']","['surface water', 'groundwater', 'information', 'management', 'conservation', 'helpful', 'interaction processes', 'scenario']"
"Therefore , this study thoroughly reviews the interaction phenomenon occurring in Indian waters","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['indian waters', 'study thoroughly reviews', 'interaction phenomenon occurring', 'study thoroughly', 'thoroughly reviews', 'interaction phenomenon', 'phenomenon occurring', 'indian', 'waters', 'study']",['interaction'],"['indian waters', 'interaction phenomenon', 'study']","['interaction phenomenon', 'indian waters', 'study']","['interaction phenomenon', 'indian waters', 'study']","['interaction phenomenon', 'indian waters', 'study']","['interaction phenomenon', 'indian waters', 'study']"
"It covers the interaction in natural and artificially - constructed environments , methods for exchange flux quantification , conceptual applications , and challenges in accomplishing these investigations","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['exchange flux quantification', 'constructed environments', 'exchange flux', 'flux quantification', 'conceptual applications', 'investigations', 'covers', 'interaction', 'natural', 'artificially']","['conceptual applications', 'flux']","['exchange flux quantification', 'conceptual applications', 'methods', 'environments', 'challenges', 'natural', 'interaction', 'investigations']","['exchange flux quantification', 'conceptual applications', 'environments', 'methods', 'challenges', 'interaction', 'investigations']","['exchange flux quantification', 'methods', 'conceptual applications', 'environments', 'natural', 'challenges', 'interaction', 'investigations']","['exchange flux quantification', 'conceptual applications', 'environments', 'methods', 'interaction', 'challenges', 'investigations']","['exchange flux quantification', 'methods', 'conceptual applications', 'environments', 'natural', 'challenges', 'interaction', 'investigations']"
"Rivers / streams , canals or seawater were considered as SW components in the majority of the studies , with the main focus on the Ganga River basin in the case of river - aquifer systems","['B', 'O', 'B', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'O']","['ganga river basin', 'ganga river', 'aquifer systems', 'river basin', 'main focus', 'river', 'ganga', 'systems', 'streams', 'canals']","['main focus', 'sw components', 'river']","['ganga river basin', 'sw components', 'main focus', 'river', 'aquifer systems', 'case', 'seawater', 'studies', 'majority', 'canals']","['ganga river basin', 'main focus', 'sw components', 'river', 'aquifer systems', 'case', 'studies', 'seawater', 'majority', 'streams']","['rivers', 'streams', 'canals', 'case', 'seawater', 'aquifer systems', 'sw components', 'majority', 'main focus', 'studies']","['sw components', 'rivers', 'ganga river basin', 'streams', 'seawater', 'canals', 'main focus', 'majority', 'river', 'studies']","['rivers', 'canals', 'streams', 'seawater', 'case', 'sw components', 'majority', 'studies', 'main focus', 'aquifer systems']"
